Average Weekday Subway Ridership,,,,,,,,,,,,
Station (alphabetical by borough),Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,,2013 Rank,
Kingston-Throop Avs (C) ,B,"4,787","4,962","4,769","4,897","5,152","5,331","5,678",+347,+6.5%,262,
Knickerbocker Av (M) ,B,"3,043","3,204","3,260","3,325","3,575","2,350","3,429","+1,079",+45.9%,352,
Kosciuszko St (J) ,B,"3,732","4,028","4,107","4,315","4,528","4,592","4,751",+159,+3.5%,301,
Lafayette Av (C) ,B,"4,186","4,518","4,409","4,627","4,665","4,774","4,825",+51,+1.1%,296,
Liberty Av (C) ,B,"2,948","2,960","2,871","2,746","2,687","2,632","2,658",+26,+1.0%,379,
Livonia Av (L) ,B,"1,983","2,249","2,280","2,497","2,678","2,908","2,959",+51,+1.8%,369,
"Lorimer St (J,M) ",B,"3,858","4,217","4,287","4,364","4,564","4,779","4,796",+17,+0.4%,297,
Lorimer St (L)/Metropolitan Av (G),B,"10,883","11,436","11,846","12,556","12,815","13,344","14,004",+660,+4.9%,109,
"Marcy Av (J,M,Z) ",B,"8,340","9,217","9,550","10,349","11,319","11,591","11,775",+184,+1.6%,132,
Montrose Av (L) ,B,"5,007","5,333","5,433","5,946","6,268","6,452","6,731",+279,+4.3%,222,
Morgan Av (L) ,B,"4,633","5,078","5,269","6,050","6,530","6,821","7,126",+305,+4.5%,209,
"Myrtle Av (J,M,Z) ",B,"7,490","8,192","8,405","8,995","9,670","10,098","10,876",+778,+7.7%,146,
Myrtle-Willoughby Avs (G) ,B,"3,818","4,179","4,250","4,139","4,412","4,581","4,916",+335,+7.3%,292,
"Myrtle-Wyckoff Avs (L,M) ",B,"14,790","16,026","16,030","16,445","16,689","17,537","18,167",+630,+3.6%,74,
Nassau Av (G) ,B,"7,654","7,782","7,542","7,343","7,791","8,096","8,435",+339,+4.2%,185,
Neck Rd (Q) ,B,"3,713","3,796","3,182","2,606","4,114","3,834","3,941",+107,+2.8%,332,
Neptune Av (F) ,B,"1,626","1,611","1,583","1,720","1,794","1,705","1,749",+44,+2.6%,399,
"Nevins St (2,3,4,5) ",B,"11,134","11,406","11,579","11,778","11,708","11,653","11,468",-185,-1.6%,139,
New Lots Av (3) ,B,"5,675","5,874","5,752","6,015","6,223","6,214","6,349",+135,+2.2%,237,
New Lots Av (L) ,B,"3,115","3,520","3,729","3,961","4,255","4,475","4,785",+310,+6.9%,298,
New Utrecht Av (N)/62 St (D) ,B,"5,086","5,161","5,052","5,155","5,340","5,883","5,159",-724,-12.3%,281,
"Newkirk Av (2,5) ",B,"7,645","7,851","7,561","7,666","7,715","7,604","7,757",+153,+2.0%,194,
"Newkirk Plaza (B,Q) ",B,"9,563","10,004","9,375","9,179","9,672","9,890","10,788",+898,+9.1%,148,
"Norwood Av (J,Z) ",B,"3,221","3,390","3,319","3,381","3,366","3,518","3,492",-26,-0.7%,349,
Nostrand Av (3) ,B,"3,895","3,891","3,782","3,980","4,069","4,113","4,151",+38,+0.9%,323,
"Nostrand Av (A,C) ",B,"14,840","15,658","15,018","15,264","15,868","16,439","16,843",+404,+2.5%,80,
Ocean Pkwy (Q) ,B,"2,864","2,992","3,075","3,350","3,314","3,155","3,141",-14,-0.4%,364,
Park Pl (S) ,B,"2,363","2,427","2,305","2,261","2,259","2,201","2,077",-124,-5.6%,395,
Parkside Av (Q) ,B,"5,569","5,648","5,661","6,407","6,691","5,729","4,240","-1,489",-26.0%,319,
Pennsylvania Av (3) ,B,"5,832","5,964","5,799","5,800","5,798","5,696","5,675",-21,-0.4%,263,
