,GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000,popchange,percent,k-means label
192,36005023704,140,36,5,35620,408,0.0,0.0,Census Tract 237.04,3758.0,1372,3600.0,1302,3758,3600,158,4.388888888888888,0
193,36005023800,140,36,5,35620,408,0.0,0.0,Census Tract 238,2615.0,911,2335.0,846,2615,2335,280,11.991434689507495,0
194,36005023900,140,36,5,35620,408,0.0,0.0,Census Tract 239,8348.0,2619,8094.0,2639,8348,8094,254,3.138127007659995,0
195,36005024000,140,36,5,35620,408,0.0,0.0,Census Tract 240,3882.0,1398,3502.0,1260,3882,3502,380,10.850942318675044,0
196,36005024100,140,36,5,35620,408,0.0,0.0,Census Tract 241,6182.0,2029,5955.0,1841,6182,5955,227,3.811922753988245,0
197,36005024300,140,36,5,35620,408,0.0,0.0,Census Tract 243,5685.0,1987,5415.0,1784,5685,5415,270,4.986149584487535,0
198,36005024400,140,36,5,35620,408,0.0,0.0,Census Tract 244,2120.0,878,2083.0,880,2120,2083,37,1.7762842054728758,0
199,36005024501,140,36,5,35620,408,0.0,0.0,Census Tract 245.01,4864.0,1583,4884.0,1526,4864,4884,-20,-0.4095004095004095,0
200,36005024502,140,36,5,35620,408,0.0,0.0,Census Tract 245.02,3640.0,1169,3655.0,1127,3640,3655,-15,-0.4103967168262654,0
201,36005024600,140,36,5,35620,408,0.0,0.0,Census Tract 246,2058.0,805,2086.0,851,2058,2086,-28,-1.342281879194631,0
202,36005024700,140,36,5,35620,408,0.0,0.0,Census Tract 247,1764.0,651,1807.0,677,1764,1807,-43,-2.3796347537354734,0
203,36005024800,140,36,5,35620,408,0.0,0.0,Census Tract 248,3363.0,1294,3245.0,1295,3363,3245,118,3.6363636363636362,0
204,36005024900,140,36,5,35620,408,0.0,0.0,Census Tract 249,0.0,0,0.0,0,0,0,0,0.0,0
205,36005025000,140,36,5,35620,408,0.0,0.0,Census Tract 250,2383.0,1085,2297.0,1054,2383,2297,86,3.744013931214628,0
206,36005025100,140,36,5,35620,408,0.0,0.0,Census Tract 251,6802.0,2141,6639.0,2157,6802,6639,163,2.4551890344931464,0
