,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
41,4 ,170 St ,Bx,7958.0,8661.0,8848.0,9234.0,9259.0,9518.0,9525.0,7.0,+0.1%,168.0,1567.0,19.6908771048002,170St4,4,170St,40.840075,-73.917791,3
42,BD ,170 St ,Bx,6273.0,6421.0,6255.0,6054.0,6155.0,6303.0,6563.0,260.0,+4.1%,229.0,290.0,4.622987406344651,170StBD,BD,170St,40.839306,-73.9134,0
43,25 ,174 St ,Bx,6514.0,6876.0,6801.0,7227.0,7049.0,7018.0,7339.0,321.0,+4.6%,204.0,825.0,12.665029167945963,174St25,25,174St,40.837288,-73.887734,0
44,BD ,174-175 Sts ,Bx,4669.0,4822.0,4603.0,4537.0,4660.0,4706.0,4885.0,179.0,+3.8%,293.0,216.0,4.626258299421718,174-175StsBD,BD,174-175Sts,40.8459,-73.910136,0
45,A ,175 St ,M,12325.0,12402.0,11834.0,12078.0,12737.0,12914.0,13309.0,395.0,+3.1%,114.0,984.0,7.983772819472616,175StA,A,175St,40.847391,-73.939704,0
46,4 ,176 St ,Bx,4606.0,5105.0,4312.0,4517.0,5383.0,5623.0,5905.0,282.0,+5.0%,256.0,1299.0,28.20234476769431,176St4,4,176St,40.84848,-73.911794,3
47,D ,18 Ave ,B,5267.0,5667.0,5611.0,5699.0,5516.0,5544.0,6162.0,618.0,+11.1%,245.0,895.0,16.99259540535409,18AveD,D,18Ave,40.607954,-74.001736,3
48,F ,18 Ave ,B,4127.0,4209.0,4008.0,4145.0,4205.0,4220.0,4204.0,-16.0,-0.4%,320.0,77.0,1.8657620547613278,18AveF,F,18Ave,40.629755,-73.976971,0
49,N ,18 Ave ,B,4686.0,5077.0,5227.0,5049.0,5469.0,5507.0,5092.0,-415.0,-7.5%,284.0,406.0,8.664105847204437,18AveN,N,18Ave,40.620671,-73.990414,0
50,1 ,18 St ,M,8010.0,8076.0,7846.0,7968.0,8199.0,8437.0,8505.0,68.0,+0.8%,183.0,495.0,6.179775280898876,18St1,1,18St,40.74104,-73.997871,0
51,1 ,181 St ,M,10819.0,11133.0,10604.0,10803.0,10370.0,10978.0,11228.0,250.0,+2.3%,142.0,409.0,3.780386357334319,181St1,1,181St,40.849505,-73.933596,0
52,A ,181 St ,M,9795.0,9772.0,9585.0,9723.0,10044.0,10223.0,10404.0,181.0,+1.8%,152.0,609.0,6.217457886676876,181StA,A,181St,40.851695,-73.937969,0
53,BD ,182-183 Sts ,Bx,4898.0,4747.0,4612.0,4550.0,4546.0,4507.0,4554.0,47.0,+1.0%,310.0,-344.0,-7.023274806043283,182-183StsBD,BD,182-183Sts,40.856093,-73.900741,0
54,4 ,183 St ,Bx,3371.0,5890.0,5954.0,6071.0,6162.0,6319.0,6360.0,41.0,+0.6%,236.0,2989.0,88.66805102343518,183St4,4,183St,40.858407,-73.903879,3
55,A ,190 St ,M,4007.0,3993.0,3891.0,3988.0,4425.0,4592.0,4546.0,-46.0,-1.0%,311.0,539.0,13.451459945096081,190StA,A,190St,40.859022,-73.93418,0
56,1 ,191 St ,M,7648.0,7880.0,7532.0,7561.0,7686.0,8042.0,8258.0,216.0,+2.7%,186.0,610.0,7.975941422594142,191St1,1,191St,40.855225,-73.929412,0
57,F ,2 Ave ,M,16637.0,17552.0,17310.0,17090.0,17364.0,17540.0,17801.0,261.0,+1.5%,76.0,1164.0,6.996453687563864,2AveF,F,2Ave,40.723402,-73.989938,0
58,D ,20 Ave ,B,4461.0,4680.0,4531.0,4517.0,4478.0,4556.0,4859.0,303.0,+6.7%,294.0,398.0,8.921766420085183,20AveD,D,20Ave,40.604556,-73.998168,0
59,N ,20 Ave ,B,3634.0,3923.0,4108.0,3903.0,4011.0,4091.0,4190.0,99.0,+2.4%,321.0,556.0,15.299944964226746,20AveN,N,20Ave,40.61741,-73.985026,3
60,1 ,207 St ,M,5189.0,5640.0,5746.0,5917.0,6745.0,6954.0,6098.0,-856.0,-12.3%,246.0,909.0,17.51782617074581,207St1,1,207St,40.864614,-73.918819,3
